num,word,HF01,HF02,HF03,HM02,HM04,HM05
1,AATM,2,4,2,3,2,1
2,AHGR,2,4,2,3,2,2
3,AHLP,2,4,2,3,2,2
4,AHN,2,4,2,3,2,2
5,AHRDH,2,4,2,4,2,2
6,AHst,2,4,2,3,2,2
7,BAHND,2,4,2,3,2,2
8,BAHRPH,2,4,2,3,2,2
9,BHAAGY,2,4,2,3,2,1
10,BHAAMP,2,4,2,3,2,2
11,BHAHSM,2,4,2,3,2,3
12,BHIYN,2,4,2,3,2,2
13,BUWND,2,4,2,3,2,2
14,BUWRJ,1,4,2,3,2,2
15,CHAHKR,2,4,2,3,2,2
16,CHAHND,2,4,2,3,2,2
17,CHHIN,2,4,2,3,2,2
18,CHIYT,2,4,2,3,2,2
19,CHUWST,2,4,2,3,2,2
20,dAANt,2,4,2,3,2,2
21,DAHnd,2,4,2,3,2,2
22,DHAHNY,2,4,2,3,2,1
23,dHUNdH,2,4,2,4,2,2
24,DHUWT,2,4,2,3,2,2
25,DHVAHJ,2,4,2,3,2,2
26,DIYRGH,2,4,2,3,2,2
27,DIYVY,2,4,2,3,2,1
28,DRAHVY,2,4,2,3,2,1
29,DUWst,2,4,2,3,2,2
30,GAANtH,2,4,3,3,2,2
31,GIYDH,2,4,2,1,2,2
32,GIYRD,2,4,2,3,2,2
33,GRAAMY,2,4,2,3,2,1
34,GRAHH,2,4,2,3,2,2
35,GRAHNTH,2,4,2,3,2,2
36,GRAHST,2,4,2,3,2,2
37,HAANPH,2,4,2,2,2,2
38,HUWSN,2,4,2,3,2,2
39,IYNt,2,4,2,3,2,2
40,IYSHK,3,4,2,3,2,2
41,JAANGH,2,4,2,4,4,2
42,JAHKHM,1,4,2,1,2,2
43,JANCH,2,4,2,3,2,2
44,JHUWNd,2,4,2,3,2,2
45,JIYBH,2,4,2,3,2,2
46,JIYN,2,4,2,3,2,2
47,JVAAR,2,4,2,3,2,2
48,JYOWN,2,4,2,3,2,2
49,KAAnd,2,4,2,3,2,2
50,KAHBR,2,4,2,3,2,2
51,KAHDR,2,4,2,3,2,2
52,KAHNtH,2,4,2,4,2,2
53,KAHst,2,4,2,3,2,2
54,KAHTL,2,4,2,1,2,2
55,KAVJ,2,4,2,3,2,4
56,KHAHnd,2,4,2,3,2,2
57,KHIYCH,2,4,2,3,2,2
58,KHYAAL,2,4,2,3,2,2
59,KIYSHT,2,4,2,3,2,2
60,KIYSM,2,4,2,3,2,2
61,KRUWR,2,4,2,3,2,2
62,KsAHY,2,4,2,3,2,2
63,KsIYn,2,3,2,4,2,2
64,KYUWN,2,4,2,4,2,2
65,LAANGH,2,1,2,3,4,1
66,LAHGN,2,2,2,3,2,2
67,LIYNG,4,4,2,3,2,2
68,LUTPH,2,4,2,3,2,2
69,LUWPT,2,4,2,3,4,2
70,MAANY,2,4,2,3,2,2
71,MAHTSY,2,4,2,3,2,2
72,MIYRTSH,2,2,2,3,2,2
73,MUWGDH,2,4,2,2,2,2
74,MUWLK,2,2,2,3,2,2
75,MUWNCH,2,4,2,3,2,2
76,MUWRKH,2,4,2,3,2,2
77,NAAtY,2,4,2,3,2,3
78,NAHBJ,2,4,2,3,2,2
79,NAHSL,2,4,2,3,2,2
80,NIYTY,2,4,2,3,2,2
81,NIYV,2,4,2,2,2,2
82,PAANCH,2,4,2,3,2,2
83,PAHt,2,4,2,3,2,2
84,PHAAND,2,3,2,2,2,2
85,PHIYKR,2,4,2,3,2,2
86,PIYT,2,3,2,3,2,2
87,PRAANT,2,2,2,3,2,2
88,PRAHn,2,4,2,3,3,2
89,PUWDJY,4,4,2,1,3,3
90,PYAAJ,2,4,2,3,2,2
91,RAHDD,2,4,2,4,2,2
92,RAHSM,2,4,2,3,2,2
93,RAHTN,2,4,2,3,2,2
94,RIYS,2,4,2,3,2,3
95,SAAKsY,2,4,2,3,2,2
96,SAANDHY,2,2,2,3,2,2
97,SAHBHY,2,4,2,3,2,4
98,SAHN,2,4,2,3,2,2
99,SHAHBD,2,4,2,3,2,2
100,SHAHKHS,2,4,2,3,2,2
101,SHAHKL,2,4,2,3,2,2
102,SHAHNKH,2,4,2,3,2,2
103,SHAHSTR,2,4,2,3,2,2
104,SHIYLP,2,4,2,3,2,2
105,SHIYRn,3,4,2,4,2,2
106,SHIYRs,4,4,2,2,2,2
107,SHIYsY,2,4,2,2,2,2
108,SHRAAP,2,4,2,3,2,2
109,SHUWBH,2,4,2,3,2,2
110,SHUWKR,2,4,2,3,2,2
111,SHUWNY,2,4,2,3,2,2
112,SHVAAN,2,4,2,3,2,2
113,SPAHRSH,1,4,2,1,2,2
114,STAHBDH,2,4,2,3,2,2
115,STAHN,2,4,2,3,2,2
116,STAHNBH,4,4,2,3,2,1
117,STHIYR,2,1,2,3,2,2
118,STRIY,3,4,2,3,2,2
119,SUWKsM,1,4,2,3,2,2
120,SUWN,2,4,2,3,2,2
121,SVAAD,2,4,2,3,2,2
122,SVAARTH,2,4,2,3,2,2
123,SVAHRG,2,4,2,3,2,2
124,SVAHSTHY,4,4,2,3,2,2
125,TAHTHY,2,4,2,3,2,2
126,TAHTV,2,4,2,3,2,2
127,tHUWNS,2,2,2,3,2,2
128,TIYVR,2,4,2,3,2,2
129,TRAHST,1,4,2,2,2,2
130,TUWLY,2,4,2,3,2,2
131,TYAAG,2,4,2,3,2,2
132,TYOWN,2,4,2,3,2,2
133,UWNt,2,4,2,3,2,2
134,VAAKJ,2,4,2,3,2,1
135,VAHJR,2,4,2,3,2,2
136,VAHNSH,2,4,2,3,2,2
137,VAHSTR,2,4,2,3,2,2
138,VIYGHN,2,4,2,3,2,2
139,VIYs,2,4,2,3,2,2
140,VYAAS,2,4,2,3,2,2
141,VYAHNG,2,4,2,3,2,2
142,VYAHNGY,2,4,2,3,4,2
143,VYAHRTH,2,4,2,3,2,2
144,YAHTN,2,4,2,3,2,2
145,YUWKT,2,4,2,3,2,2
146,JIYD,2,4,2,3,2,2
147,JVAAR,2,4,2,3,2,2
148,KAAstH,2,4,2,3,2,2
149,TIYKsn,2,4,2,3,2,2
150,KHINN,2,4,2,3,2,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
