num,word,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09
1,BAG,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
2,BALL,3,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
3,BANK,4,2,4,2,4,1,2,3,2,2,3,3,3,3,3,4
4,BAR,4,2,3,1,4,1,2,3,2,2,3,3,3,3,2,4
5,BLUES,3,2,2,2,4,1,2,3,2,3,3,3,3,3,3,4
6,BOLT,4,2,3,1,4,1,2,3,1,2,3,3,3,3,3,2
7,BRAWL,1,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
8,BRIDE,4,2,1,2,4,1,3,3,2,3,3,3,2,3,3,4
9,BUD,4,2,1,1,4,1,3,3,2,2,3,3,3,3,3,4
10,BULB,3,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
11,CANE,4,2,2,2,4,1,3,3,2,2,2,3,3,4,3,4
12,CAP,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,3
13,CASH,4,2,4,2,4,1,3,3,2,2,3,3,2,3,3,4
14,CENT,4,2,1,2,4,1,3,3,2,3,3,3,2,3,3,3
15,CHICK,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
16,CHIEF,4,2,4,2,4,1,3,3,2,3,3,3,3,3,3,4
17,COLT,4,2,1,2,4,1,4,3,2,3,3,3,3,3,3,2
18,CONE,4,2,4,2,4,1,2,3,2,2,3,3,3,3,3,4
19,CREST,4,2,3,2,4,1,3,3,2,2,3,3,3,1,3,4
20,CRIB,4,2,1,1,4,1,2,3,2,2,3,3,3,3,2,4
21,CROAK,3,2,4,1,4,1,2,3,2,2,3,3,3,3,3,4
22,DEER,4,2,4,2,4,1,3,3,2,2,3,3,3,3,3,4
23,DENSE,4,2,4,2,4,1,2,3,2,2,3,3,3,3,2,4
24,DILL,4,2,2,2,4,1,2,3,2,2,2,3,3,3,3,4
25,DIP,3,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
26,DOE,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
27,EAST,4,2,3,2,4,1,3,3,2,2,2,3,3,3,3,4
28,FIG,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
29,FILL,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
30,FIST,4,2,3,2,4,1,2,3,2,2,3,3,3,4,3,4
31,FIX,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
32,FLAG,2,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
33,FLAKE,1,3,1,2,4,1,3,3,2,2,3,3,3,3,3,4
34,FLEA,4,2,1,2,2,1,4,3,2,2,3,3,3,3,3,4
35,FLU,4,2,4,2,1,1,4,3,2,2,3,3,3,3,3,4
36,FOE,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
37,FRAME,3,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
38,FROWN,4,2,1,2,4,1,3,2,2,2,3,3,3,3,3,4
39,FUND,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
40,GATE,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
41,GLARE,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
42,GRASP,4,2,3,2,4,1,3,3,2,3,3,3,3,3,3,4
43,GRAZE,4,2,3,2,4,1,3,2,2,3,3,3,3,3,3,4
44,GRILL,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
45,GROUND,4,2,4,2,4,2,3,3,2,3,3,3,3,3,3,4
46,GYM,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
47,HAIR,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
48,HALL,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
49,HEAL,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
50,HERD,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
51,HIVE,3,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
52,HOG,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
53,HOOD,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
54,HORN,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
55,HOUND,4,2,4,2,4,1,2,3,2,2,3,3,3,3,3,4
56,ILL,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
57,JACK,3,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
58,JERK,4,2,1,2,4,1,4,3,2,2,3,3,3,3,3,4
59,JOG,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,3
60,JOINT,4,2,1,2,1,1,3,3,2,2,3,3,3,4,3,4
61,KEG,4,2,3,2,2,1,4,3,2,2,3,3,3,3,3,4
62,KING,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
